DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH
12.00,1407.00,1619.00,DL,13244,MEM,12892,LAX,3
12.00,1408.00,191.00,DL,10397,ATL,10868,CAE,7
12.00,1408.00,796.00,WN,12889,LAS,13158,MAF,5
12.00,1408.00,848.00,WN,13204,MCO,12191,HOU,12
12.00,1408.00,2329.00,UA,10821,BWI,12892,LAX,8
12.00,1408.00,2329.00,UA,10821,BWI,12892,LAX,11
12.00,1412.00,683.00,DL,13244,MEM,13204,MCO,6
12.00,1413.00,978.00,AS,14747,SEA,14908,SNA,11
12.00,1414.00,829.00,WN,15304,TPA,11066,CMH,1
12.00,1417.00,853.00,CO,13204,MCO,12266,IAH,11
12.00,1417.00,1557.00,US,14100,PHL,11292,DEN,7
12.00,1418.00,1050.00,WN,13204,MCO,10529,BDL,7
12.00,1419.00,954.00,AS,10666,BLI,12889,LAS,3
12.00,1419.00,987.00,AS,14747,SEA,14262,PSP,8
12.00,1419.00,1085.00,F9,11292,DEN,11267,DAY,5
12.00,1419.00,2600.00,HA,14222,PPG,12173,HNL,12
12.00,1420.00,526.00,DL,14122,PIT,10397,ATL,2
12.00,1420.00,581.00,DL,10397,ATL,11697,FLL,12
12.00,1424.00,1312.00,WN,14679,SAN,12191,HOU,8
12.00,1426.00,678.00,US,13930,ORD,14100,PHL,8
12.00,1426.00,781.00,WN,12191,HOU,15304,TPA,8
12.00,1426.00,810.00,WN,15304,TPA,12264,IAD,8
12.00,1428.00,833.00,WN,14107,PHX,13851,OKC,8
12.00,1428.00,957.00,UA,11292,DEN,13796,OAK,12
12.00,1429.00,758.00,WN,13204,MCO,12264,IAD,7
12.00,1431.00,432.00,DL,12339,IND,10397,ATL,12
12.00,1433.00,599.00,G4,12889,LAS,13264,MFR,4
12.00,1434.00,516.00,DL,13931,ORF,10397,ATL,12
12.00,1434.00,1416.00,DL,12889,LAS,13244,MEM,6
12.00,1435.00,605.00,AS,14893,SMF,14747,SEA,1
12.00,1435.00,641.00,UA,11298,DFW,11292,DEN,7
12.00,1435.00,1107.00,NK,15024,STT,11697,FLL,9
12.00,1436.00,718.00,WN,13198,MCI,10140,ABQ,12
12.00,1437.00,883.00,WN,12191,HOU,11292,DEN,6
12.00,1437.00,1246.00,WN,12191,HOU,10821,BWI,10
12.00,1438.00,866.00,AS,14747,SEA,12889,LAS,2
12.00,1439.00,479.00,WN,14057,PDX,14893,SMF,8
12.00,1441.00,873.00,WN,15304,TPA,14122,PIT,4
12.00,1441.00,2279.00,US,11057,CLT,14747,SEA,8
